Order,Name,Term start,Term end,Time in office,Notes
1,Sir John Garvan,13 October 1924,30 August 1926,"1 year, 321 days",[15][17][73][74]
2,Sir Robert Gibson GBE,13 September 1926,1 January 1934,"7 years, 110 days",[75][76][77]
3,Sir Claude Reading KCMG,4 January 1934,21 August 1945,"11 years, 229 days",[78][79][80][81][82][83]
"Board abolished, 1945–1960","Board abolished, 1945–1960","Board abolished, 1945–1960","Board abolished, 1945–1960","Board abolished, 1945–1960","Board abolished, 1945–1960"
4,Sir Warren McDonald KBE,1 January 1960,12 November 1965,"5 years, 315 days",[84][85]
–,Geoffrey Rushworth (acting),12 November 1965,27 October 1966,349 days,[85]
5,Sir Roland Wilson,28 October 1966,13 February 1975,"8 years, 108 days",[86][87]
6,Finlay Crisp,14 February 1975,21 December 1984,"9 years, 311 days",[88][89][90]
7,Sir Brian Massy-Greene,21 December 1984,7 March 1988,"3 years, 77 days",[91]
8,Tim Besley AC,8 March 1988,31 October 1999,"11 years, 237 days",[92]
9,John Ralph AO,1 November 1999,5 November 2004,"5 years, 4 days",[93][94]
10,John Schubert AO,5 November 2004,1 February 2010,"5 years, 88 days",[95][96][97]
11,David Turner,1 February 2010,31 December 2016,"6 years, 334 days",[98][99][100]
12,Catherine Livingstone AO,1 January 2017,9 August 2022,"5 years, 220 days",[101][102]
13,Paul O’Malley,10 August 2022,Incumbent,"2 years, 227 days",[103][104][105]
